Station_Id,Suburb,State_Code,Name,Lattitude,Longitude,Mode
1,Aberdeen,NSW,"Macqueen St, Entrance through Stairs",-32.16689969,150.8919751,Train
2,Aberdeen,NSW,"Macqueen St, Entrance through Ramp",-32.16688641,150.8919573,Train
3,Adamstown,NSW,"Park Ave, Entrance through Path",-32.9337056,151.7204518,Train
4,Adamstown,NSW,"St James Rd, Entrance through Stairs",-32.93341396,151.7203632,Train
5,Adamstown,NSW,"St James Rd, Entrance through Ramp",-32.93340162,151.7203474,Train
6,Adamstown,NSW,"Park Ave, Entrance through Path",-32.93382729,151.7202364,Train
7,Albion Park,NSW,"Burroo St, Entrance through Ramp",-34.56340933,150.79939,Train
8,Albion Park,NSW,"Princes Hwy, Entrance through Ramp",-34.56350712,150.7991893,Train
9,Albion Park,NSW,"Princes Hwy, Entrance through Stairs",-34.56293995,150.798574,Train
10,Albion Park,NSW,"Princes Hwy, Entrance through Ramp",-34.56278202,150.7984185,Train
11,Allawah,NSW,"Railway Pde, Entrance through Ramp",-33.96996874,151.1149448,Train
12,Allawah,NSW,"Roberts Lane, Entrance through Ramp",-33.96953727,151.1146945,Train
13,Allawah,NSW,"Roberts Lane, Entrance through Stairs",-33.96949011,151.1145667,Train
14,Allawah,NSW,"Railway Pde, Entrance through Lift",-33.96987782,151.1144352,Train
15,Allawah,NSW,"Railway Pde, Entrance through Ramp",-33.96988689,151.1142405,Train
16,Arlington LR,NSW,"Grove St, Entrance through Path",-33.9020453,151.1381593,Train
17,Arlington LR,NSW,"Constitution Rd, Entrance through Path",-33.9020497,151.1380434,Train
18,Arncliffe,NSW,"The Arcade , Entrance through Stairs",-33.93692447,151.1474278,Train
19,Arncliffe,NSW,"The Arcade , Entrance through Lift",-33.93696302,151.1474227,Train
20,Arncliffe,NSW,"Firth St, Entrance through Lift",-33.93677457,151.1468602,Train
21,Arncliffe,NSW,"Firth St, Entrance through Stairs",-33.93671781,151.1468509,Train
22,Artarmon,NSW,"Valetta Lane, Entrance through Ramp",-33.80823377,151.1847419,Train
23,Artarmon,NSW,"Hampden Rd, Entrance through Lift",-33.80875941,151.1847201,Train
24,Artarmon,NSW,"Hampden Rd, Entrance through Stairs",-33.80854065,151.1844285,Train
25,Ashfield,NSW,"Station St, Entrance through Lift",-33.88744211,151.1259581,Train
26,Ashfield,NSW,"Station St, Entrance through Stairs",-33.88739665,151.1258025,Train
27,Ashfield,NSW,"Brown St, Entrance through Lift",-33.88789161,151.1257974,Train
28,Ashfield,NSW,"Brown  St, Entrance through Stairs",-33.887775,151.1255397,Train
29,Asquith,NSW,"Haldane St, Entrance through Path",-33.68869132,151.1082656,Train
30,Asquith,NSW,"Pacific Hwy, Entrance through Ramp",-33.68848916,151.1079991,Train
31,Auburn,NSW,"Rawson St, Entrance through Ramp",-33.8492876,151.0332914,Train
32,Auburn,NSW,"South Pde, Entrance through Stairs",-33.849663,151.0329192,Train
33,Auburn,NSW,"South Pde, Entrance through Ramp",-33.84946375,151.0327209,Train
34,Austinmer,NSW,"Gilchrist St, Entrance through Path",-34.3065205,150.9293511,Train
35,Austinmer,NSW,"Railway Ave, Entrance through Path",-34.30650136,150.9289071,Train
36,Awaba,NSW,"Adelaide St, Entrance through Ramp",-33.0129167,151.5421589,Train
37,Awaba,NSW,"Adelaide St, Entrance through Path",-33.01291676,151.5421328,Train
38,Awaba,NSW,"Wilton Rd, Entrance through Ramp",-33.01310914,151.5420747,Train
39,Banksia,NSW,"Hattersley St, Entrance through Ramp",-33.94490035,151.140849,Train
40,Banksia,NSW,"Railway St, Entrance through Ramp",-33.94479129,151.1404987,Train
41,Banksia,NSW,"Railway St, Entrance through Stairs",-33.94488347,151.1404482,Train
42,Bankstown,NSW,"North Tce, Entrance through Ramp",-33.91768635,151.0342697,Train
43,Bankstown,NSW,"Bankstown City Plza, Entrance through Path",-33.91805216,151.03411,Train
44,Bankstown,NSW,"Bankstown City Plza, Entrance through Path",-33.91778824,151.0337625,Train
45,Bardwell Park,NSW,"Hartill Law Ave, Entrance through Stairs",-33.93137824,151.125379,Train
46,Bargo,NSW,"Great Southern Rd, Entrance through Path",-34.29097858,150.5801756,Train
47,Bargo,NSW,"Great Southern Rd, Entrance through Ramp",-34.29098411,150.5801501,Train
48,Bargo,NSW,"Railside Ave, Entrance through Ramp",-34.29100778,150.5800205,Train
49,Bargo,NSW,"Railside Ave, Entrance through Path",-34.29104476,150.5800077,Train
50,Beecroft,NSW,"Sutherland Rd, Entrance through Path",-33.74921627,151.0667339,Train
51,Beecroft,NSW,"Wongala Cres, Entrance through Path",-33.74904472,151.0663377,Train
52,Beecroft,NSW,"Wongala Cres, Entrance through Path",-33.74923381,151.0662247,Train
53,Bell,NSW,"Sandham  Rd, Entrance through Ramp",-33.5061656,150.2793612,Train
54,Bell,NSW,"Chiefley Rd, Entrance through Stairs",-33.50623435,150.2790794,Train
55,Bellambi,NSW,"Bellambi Lane, Entrance through Ramp",-34.36261281,150.9101311,Train
56,Belmore,NSW,"Burwood Rd, Entrance through Lift",-33.91724884,151.0883372,Train
57,Belmore,NSW,"Burwood Rd, Entrance through Stairs",-33.91722736,151.0883244,Train
58,Berala,NSW,"Campbell St, Entrance through Path",-33.8719773,151.0328288,Train
59,Berala,NSW,"Woodburn Rd, Entrance through Path",-33.87139384,151.0323272,Train
60,Beresfield,NSW,"Lawson Ave, Entrance through Stairs",-32.79940714,151.6585784,Train
61,Beresfield,NSW,"Addison St, Entrance through Stairs",-32.79958398,151.658334,Train
62,Beresfield,NSW,"Addison St, Entrance through Lift",-32.79947121,151.6581617,Train
63,Berowra,NSW,"Pacific Hwy, Entrance through Ramp",-33.62291449,151.1535638,Train
64,Berowra,NSW,"Pacific Hwy, Entrance through Ramp",-33.62300205,151.1531421,Train
65,Berry,NSW,"Station Rd, Entrance through Path",-34.78027342,150.6967235,Train
66,Beverly Hills,NSW,"King Georges Rd, Entrance through Stairs",-33.94914069,151.0808676,Train
67,Beverly Hills,NSW,"King Georges Rd, Entrance through Lift",-33.94913026,151.0808291,Train
68,Beverly Hills,NSW,"King Georges Rd, Entrance through Stairs",-33.94926254,151.0804784,Train
69,Bexley North,NSW,"Bexley Rd, Entrance through Stairs",-33.9374812,151.1139261,Train
70,Birrong,NSW,"Avalon St, Entrance through Stairs",-33.89253644,151.0243134,Train
71,Blackheath,NSW,"Great Western Hwy, Entrance through Stairs",-33.63397248,150.2845903,Train
72,Blackheath,NSW,"Station St, Entrance through Stairs",-33.63400546,150.2842535,Train
73,Blacktown,NSW,"First Ave, Entrance through Stairs",-33.76777702,150.9080196,Train
74,Blacktown,NSW,"First Ave, Entrance through Stairs",-33.7677336,150.9079689,Train
75,Blacktown,NSW,"First Ave, Entrance through Lift",-33.76775412,150.9079614,Train
76,Blacktown,NSW,"Jim Simpson Lane, Entrance through Stairs",-33.76894183,150.9073054,Train
77,Blacktown,NSW,"Jim Simpson Lane, Entrance through Escalators",-33.76896727,150.9072963,Train
78,Blacktown,NSW,"Old Richmond Rd, Entrance through Lift",-33.7678292,150.9071472,Train
79,Blacktown,NSW,"Patrick St, Entrance through Lift",-33.76889928,150.9070828,Train
80,Blacktown,NSW,"Patrick St, Entrance through Stairs",-33.76903303,150.9069899,Train
81,Blacktown,NSW,"Old Richmond Rd, Entrance through Stairs",-33.76779802,150.9069245,Train
82,Blaxland,NSW,"Wilson Way, Entrance through Lift",-33.74369934,150.6099627,Train
83,Blaxland,NSW,"Wilson Way, Entrance through Stairs",-33.74366205,150.6098058,Train
84,Blaxland,NSW,"Great Western Hwy, Entrance through Stairs",-33.7438036,150.6096862,Train
85,Blaxland,NSW,"Great Western Hwy, Entrance through Ramp",-33.74411767,150.6093887,Train
86,Blaxland,NSW,"Great Western Hwy, Entrance through Stairs",-33.74404944,150.6093287,Train
87,Bomaderry,NSW,"Meroo St, Entrance through Path",-34.85374494,150.6097702,Train
88,Bombo,NSW,"Princes Hwy, Entrance through Stairs",-34.65868669,150.8537686,Train
89,Bombo,NSW,"Princes Hwy, Entrance through Ramp",-34.65885576,150.8537564,Train
90,Bondi Junction,NSW,"Grafton St, Entrance through Stairs",-33.89103017,151.2485965,Train
91,Bondi Junction,NSW,"Rowe St, Entrance through Ramp",-33.89186986,151.2483663,Train
92,Bondi Junction,NSW,"Grafton St, Entrance through Stairs",-33.89099409,151.2482086,Train
93,Booragul,NSW,"Fourth St, Entrance through Ramp",-32.97169903,151.605168,Train
94,Booragul,NSW,"Station St, Entrance through Ramp",-32.97190014,151.6047908,Train
95,Bowral,NSW,"Station St, Entrance through Path",-34.47792483,150.4169743,Train
96,Bowral,NSW,"Kirkham  Rd, Entrance through Path",-34.47763745,150.4167974,Train
97,Bowral,NSW,"Wingercarribee St, Entrance through Stairs",-34.47841685,150.4165949,Train
98,Bowral,NSW,"Wingercarribee St, Entrance through Lift",-34.47837068,150.4165765,Train
99,Bowral,NSW,"Wingercarribee St, Entrance through Lift",-34.47827715,150.4163947,Train
100,Bowral,NSW,"Kirkham  Rd, Entrance through Stairs",-34.47822202,150.4163793,Train
101,Branxton,NSW,"Railway St, Entrance through Ramp",-32.66221027,151.3459324,Train
102,Branxton,NSW,"Railway St, Entrance through Ramp",-32.66209242,151.3455358,Train
